dateE,latitude,longitude,depth,mag,gap,id,place
12-03-2023,24.276,94.7151,113.11,4.6,48,us7000jjbm,"74 km ESE of Wāngjing, India"
07-03-2023,13.3077,92.4291,10,4.9,82,us7000jhvh,"180 km N of Bamboo Flat, India"
03-03-2023,29.8612,94.9521,10,4.2,110,us7000jgyk,"157 km NNE of Shi Yomi, India"
24-02-2023,9.7878,92.6004,35,4.3,180,us7000jh1x,"208 km S of Port Blair, India"
22-02-2023,9.2648,93.945,11.02,4.5,136,us7000jgtv,"296 km SSE of Port Blair, India"
16-02-2023,25.1917,91.8394,57.099,4.3,111,us6000jpaj,"18 km SE of Cherrapunji, India"
12-02-2023,27.986,88.0003,60.903,4,66,us6000jni5,"73 km NW of Mangan, India"
12-02-2023,26.3749,92.9259,10,4.2,128,us6000jngh,"31 km SSE of Tezpur, India"
31-01-2023,24.5866,94.459,69.006,4.6,75,us6000jkh1,"40 km E of W?ngjing, India"
30-01-2023,12.1363,93.5873,107.401,5,48,us6000jkdx,"105 km ENE of Port Blair, India"
26-01-2023,25.7328,90.4362,36.679,4,162,us6000jltv,"33 km NE of Tura, India"
23-01-2023,24.8836,93.079,10,5.1,42,us7000j6c8,"12 km NE of Lakhipur, India"
19-01-2023,10.0936,93.5847,10,4.8,76,us6000jjhd,"Andaman Islands, India region"
19-01-2023,12.1121,94.4701,10,4.4,74,us6000jjgr,"194 km ENE of Port Blair, India"
18-01-2023,11.5023,95.1809,10,4.4,81,us6000jjdm,"Andaman Islands, India region"
16-01-2023,23.5913,92.4156,10,4.1,85,us7000j4s0,India-Bangladesh border region
10-01-2023,11.2892,91.8207,20.942,4.1,120,us7000j5k6,"107 km WSW of Bamboo Flat, India"
10-01-2023,26.705,96.5576,10,4.6,95,us7000j3bs,"60 km NNW of Sarupathar, India"
07-01-2023,11.9253,92.6851,40.216,4.2,81,us7000j2v1,"25 km N of Bamboo Flat, India"
03-01-2023,10.7847,95.0957,10,4.3,135,us7000j455,"274 km ESE of Port Blair, India"
03-01-2023,10.8475,95.1111,10,4.1,176,us7000j453,"Andaman Islands, India region"
02-01-2023,10.8119,91.5945,10,4.4,71,us7000j1nn,"157 km SW of Bamboo Flat, India"
31-12-2022,28.7191,76.6286,10,4.1,179,us7000j1aj,"Haryana, India"
27-12-2022,11.4848,95,10,4.1,176,us7000j359,"246 km E of Port Blair, India"
15-12-2022,24.8414,95.0837,101.752,4.4,55,us6000j9ij,"106 km E of Yairipok, India"
12-12-2022,12.736,93.633,85.927,4.5,61,us6000j8qb,"151 km NE of Bamboo Flat, India"
09-12-2022,26.0254,95.3931,99.202,4.5,110,us6000j86w,Myanmar-India border region
30-11-2022,12.4347,93.9585,135.727,4,104,us6000j733,"156 km ENE of Port Blair, India"
16-11-2022,31.8986,76.9792,10,4.4,87,us7000iq4z,"13 km WSW of Kulu, India"
10-11-2022,28.3835,94.4118,15,5.5,35,us7000inqd,"16 km SSE of Shi Yomi, India"
09-11-2022,29.9803,80.2903,22.974,4.4,166,us7000ine2,"26 km WNW of Dh?rchula, India"
06-11-2022,27.9764,88.2153,10,4,66,us7000imxk,"59 km NNW of Mangan, India"
06-11-2022,30.7102,78.5669,22.322,4.6,100,us7000imtm,"Uttaranchal, India"
01-11-2022,23.0012,80.1303,10,4.3,125,us7000imin,"13 km SE of Barela, India"
31-10-2022,26.6099,96.5205,10,4.6,73,us7000ilef,"53 km NNW of Sarupathar, India"
30-10-2022,13.5414,94.2712,10,4.5,89,us7000ildw,"264 km NE of Bamboo Flat, India"
30-10-2022,25.1215,92.205,10,4.2,157,us7000ilc3,"31 km NNW of Kar?mganj, India"
20-10-2022,11.5884,93.1518,90.086,5.1,45,us6000iv38,"45 km E of Port Blair, India"
18-10-2022,32.3641,78.6637,10,4.5,88,us6000iuid,"125 km NE of Sar?han, India"
14-10-2022,9.1283,94.0138,10,4.5,81,us6000itm8,"Nicobar Islands, India region"
13-10-2022,23.3661,82.4336,10,4.9,42,us6000itig,"17 km NW of Baikunthpur, India"
11-10-2022,9.9577,93.911,10,4.1,119,us6000iubs,"227 km SE of Port Blair, India"
